time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
4130.386067	24.940233	1.787139	0.177738	243
4132.420848	25.038132	1.783714	0.175683	245
4134.454715	25.205942	1.784959	0.173648	247
4136.487597	25.554743	1.786937	0.172490	249
4138.521352	25.773235	1.787894	0.171228	251
4140.555565	25.973795	1.786556	0.170202	253
4142.590055	26.163639	1.783295	0.168763	255
4144.624820	26.400213	1.781727	0.166959	1
4146.659756	26.383743	1.777070	0.165514	3
4148.694996	26.066412	1.772111	0.164771	5
4150.730599	25.701977	1.765925	0.164040	7
4152.765741	25.780409	1.768088	0.164178	9
4154.799082	26.413713	1.765248	0.162595	11
4156.831873	27.221022	1.761225	0.160220	13
4158.865880	27.577049	1.760417	0.157267	15
4160.901031	27.326813	1.757793	0.155277	17
4162.937612	26.672606	1.749609	0.154849	19
4164.972721	26.391577	1.750254	0.155094	21
4167.006566	26.968437	1.752289	0.153987	23
4169.039725	27.647362	1.751731	0.152629	25
4171.072893	28.094618	1.749232	0.149659	27
4173.106731	28.281675	1.742267	0.146669	29
4175.141070	28.377600	1.742187	0.145199	31
4177.175855	28.464441	1.742151	0.144260	33
4179.210459	28.508581	1.741319	0.143729	35
4181.245041	28.501497	1.740445	0.143038	37
4183.279280	28.591141	1.737376	0.142158	39
4185.313901	28.679401	1.736940	0.141709	41
4187.348625	28.592459	1.730734	0.141474	43
4189.384368	28.580050	1.725199	0.140851	45
4191.420273	28.482531	1.720673	0.140031	47
4193.455629	28.376049	1.715334	0.138809	49
4195.489508	28.589308	1.714390	0.135618	51
4197.522447	28.999014	1.718475	0.133121	53
4199.555317	29.195839	1.719977	0.131850	55
4201.589059	29.182177	1.712490	0.131316	57
4203.624085	29.243744	1.705513	0.131124	59
4205.659735	29.223133	1.700256	0.131048	61
4207.695185	29.085846	1.697166	0.130202	63
4209.730116	29.014091	1.695134	0.128571	65
4211.764591	29.014708	1.692217	0.127224	67
4213.798911	29.044449	1.690012	0.125865	69
4215.833223	29.110142	1.686576	0.124431	71
4217.867510	29.179228	1.683327	0.123598	73
4219.901986	29.171568	1.681200	0.122823	75
4221.936215	29.252983	1.679095	0.121796	77
4223.970224	29.494043	1.678209	0.120612	79
4226.003698	29.914869	1.675994	0.119360	81
4228.036858	30.359476	1.676251	0.117428	83
4230.069984	30.695072	1.674503	0.115054	85
4232.103929	30.754807	1.672186	0.113621	87
4234.138930	30.747459	1.668026	0.111982	89
4236.174590	30.542688	1.663872	0.111038	91
4238.209492	30.249489	1.659516	0.110436	93
4240.244909	30.137129	1.659940	0.110347	95
4242.279110	30.251572	1.663513	0.110245	97
4244.312589	30.572863	1.660237	0.109656	99
4246.346194	31.007870	1.659486	0.108034	101
4248.379038	31.275501	1.655149	0.106288	103
4250.414325	31.320147	1.653058	0.105448	105
4252.448187	31.419998	1.650658	0.104505	107
4254.482576	31.406021	1.647591	0.104131	109
4256.517122	31.412725	1.646307	0.103241	111
4258.552186	31.335972	1.642297	0.102575	113
4260.587296	31.325727	1.640899	0.101556	115
4262.621648	31.257860	1.641337	0.100367	117
4264.657172	31.155457	1.636442	0.099953	119
4266.691612	31.189449	1.634743	0.098577	121
4268.724999	31.433435	1.635263	0.097095	123
4270.758231	31.605722	1.635316	0.095311	125
4272.791231	31.720459	1.636907	0.093941	127
4274.824596	31.829905	1.635015	0.092917	129
4276.858859	31.808153	1.631687	0.093194	131
4278.893682	31.847120	1.625960	0.093281	133
4280.928751	31.931705	1.622117	0.092697	135
4282.963959	31.804863	1.619758	0.091704	137
4284.998809	31.812321	1.616005	0.089938	139
4287.033218	31.784666	1.612592	0.089044	141
4289.067693	31.748840	1.610615	0.088190	143
4291.101892	31.823914	1.606588	0.086989	145
4293.135746	31.932051	1.604610	0.085767	147
4295.169590	32.042160	1.603418	0.084690	149
4297.203339	32.280949	1.600883	0.083547	151
4299.236931	32.447063	1.599087	0.082699	153
