time (s)	magX	magY	magZ
6846.356200	-25.649326	272.739319	113.771484
6846.359530	-26.818237	277.882507	118.739319
6846.362868	-28.571598	282.382782	124.992981
6846.366196	-29.857395	287.818207	130.662186
6846.369526	-31.435417	293.428955	137.558731
6846.372862	-33.071888	298.630615	143.987717
6846.376192	-34.591469	304.182922	151.351837
6846.379527	-36.578609	309.384552	158.248398
6846.382860	-37.922855	314.410858	165.378723
6846.386253	-39.559322	319.963165	173.268829
6846.389531	-41.838696	325.515472	182.327881
6846.392894	-43.358273	331.184662	190.568680
6846.396194	-44.936295	337.029205	199.744598
6846.399522	-47.332558	341.821747	208.511398
6846.404174	-51.891289	352.166565	226.512573
6846.407093	-53.936882	357.660400	237.266510
6846.410394	-56.742256	362.043823	247.026886
6846.413772	-59.372299	366.135010	258.540619
6846.416635	-61.943893	371.687317	269.119232
6846.419991	-64.632378	376.129150	282.152527
6846.423284	-67.788429	380.044983	293.081818
6846.426190	-70.886032	384.077728	305.355347
6846.429525	-73.866745	387.467560	316.752197
6846.432857	-77.315018	391.266479	329.259491
6846.436188	-80.412628	394.364105	342.468140
6846.439517	-84.737579	397.695496	356.553467
6846.442852	-88.536530	400.267059	369.645233
6846.446185	-92.744591	402.312653	385.074829
6846.449544	-96.660439	403.715363	399.686157
6846.452850	-100.634720	404.825836	414.297516
6846.456183	-105.485680	405.644043	428.850372
6846.459519	-110.161308	406.111633	445.273499
6846.462855	-115.129166	406.228485	462.690216
6846.466184	-119.454117	404.475159	478.996460
6846.469523	-124.597305	403.656921	496.062561
6846.472853	-129.565170	401.143738	513.596130
6846.476187	-134.240799	398.338348	532.357117
6846.479540	-139.734665	394.130310	549.247803
6846.482866	-144.819397	389.454681	567.424316
6846.486182	-150.196381	383.843933	586.477478
6846.490375	-160.658096	370.050842	625.343689
6846.493719	-167.028641	360.874908	643.987732
6846.497025	-171.587372	351.991211	663.216248
6846.499938	-177.315018	342.113953	681.743408
6846.503276	-182.984222	330.191101	701.205688
6846.506626	-188.478088	317.566925	720.083618
6846.509976	-194.264175	304.358276	737.500305
6846.512851	-199.290466	290.214478	755.676819
6846.516227	-203.790756	274.434235	773.444153
6846.519520	-209.167740	258.361755	790.685547
6846.522868	-214.135605	242.055527	806.232056
6846.526177	-218.518997	223.586792	822.830566
6846.529516	-223.428421	205.468735	838.552368
6846.532844	-227.694916	185.597321	851.410278
6846.536179	-231.260086	165.550552	865.437195
6846.539512	-235.000580	144.919342	876.132629
6846.542842	-239.208649	123.703690	888.113953
6846.546183	-242.949158	102.955582	897.523682
6846.549516	-246.923462	80.980133	906.232056
6846.552848	-250.079498	59.121567	914.063721
6846.556171	-252.241974	36.912331	919.791382
6846.559509	-255.281128	14.527761	924.876099
6846.562847	-257.677399	-7.798364	929.025696
6846.566184	-259.722961	-29.890707	930.895996
6846.569509	-261.593231	-51.866158	932.473999
6846.573767	-264.106384	-94.531265	929.960815
6846.577094	-265.216827	-115.220924	926.395691
6846.580363	-266.035065	-135.735245	921.486267
6846.583688	-265.859711	-155.781998	915.174194
6846.586599	-266.210419	-175.010513	909.037354
6846.589931	-265.625946	-194.297485	900.796570
6846.593266	-265.392151	-212.298660	891.036194
6846.596174	-264.398590	-229.364685	881.568115
6846.599508	-262.411438	-246.021622	867.541199
6846.602859	-261.184113	-261.217407	855.559875
6846.606166	-258.612518	-275.770325	841.591431
6846.609504	-256.625366	-290.557007	826.687866
6846.612835	-254.053772	-303.648773	810.907593
6846.616212	-251.423737	-316.506744	793.374023
6846.619507	-247.098785	-327.436005	778.178284
6846.622841	-243.299805	-338.482178	759.709534
6846.626168	-239.325546	-348.184113	741.942139
6846.629506	-235.175919	-356.892456	723.064270
6846.632839	-230.792526	-364.665710	702.666870
6846.636168	-225.883102	-372.263611	683.789062
6846.639499	-221.441269	-377.289886	665.495605
6846.642839	-217.408539	-383.192871	644.163025
6846.646198	-212.499115	-387.810059	624.408569
6846.649498	-207.765060	-391.492126	603.426636
6846.652837	-202.037415	-393.654602	584.081238
6846.656168	-197.011108	-395.700195	564.034485
6846.660369	-186.607834	-397.687347	525.986572
6846.663799	-181.523087	-397.804230	506.232056
6846.667090	-176.964355	-397.219788	487.003479
6846.670018	-171.821152	-395.992432	468.943909
6846.673259	-167.496201	-394.472839	451.410278
6846.676589	-161.651672	-392.193451	433.058411
6846.679920	-157.268265	-389.797211	415.992432
6846.682826	-152.767975	-387.050262	399.569244
6846.686166	-149.144363	-383.368195	383.964355
6846.689531	-144.118057	-379.452362	369.236115
6846.692827	-140.319107	-375.302765	354.449432
6846.696158	-135.994156	-371.562256	340.305664
6846.699496	-132.838104	-367.587982	326.395660
6846.702828	-128.279358	-362.620117	312.719452
6846.706162	-124.889542	-358.236725	299.803040
6846.709495	-121.675034	-352.801300	287.529510
6846.712828	-117.583878	-348.184113	275.957336
6846.716162	-114.661606	-343.683807	264.092926
6846.719493	-111.330215	-338.189972	252.988312
6846.722861	-108.700180	-333.397430	242.468140
6846.726160	-105.193459	-328.780243	232.707794
6846.729496	-101.920509	-323.169495	222.246033
6846.732853	-98.881355	-318.201630	212.485687
6846.736160	-96.777321	-313.058441	203.835770
6846.739494	-93.796616	-307.564606	195.244308
6846.742825	-90.991234	-301.720062	185.542358
6846.747006	-85.029808	-291.433685	170.112793
6846.750366	-82.516663	-286.407379	162.514893
6846.753699	-80.763298	-281.088867	155.910583
6846.756609	-78.074814	-275.302765	148.780243
6846.759941	-75.094101	-271.737579	141.474579
6846.763283	-73.223846	-266.711273	135.688477
6846.766188	-70.652252	-261.743408	128.967270
6846.769488	-67.729988	-257.067780	123.298065
6846.772824	-65.918175	-252.450623	117.862640
6846.776191	-63.989479	-247.015198	112.076569
6846.779485	-61.651665	-242.514908	106.699585
6846.782822	-59.722977	-237.897720	102.023972
6846.786156	-57.677383	-233.514313	96.588547
6846.789488	-56.566917	-228.955582	93.140259
6846.792821	-54.872009	-224.805954	87.880188
6846.796152	-53.060196	-221.007019	83.204559
6846.799491	-51.715958	-216.682053	79.113388
6846.802817	-49.962601	-212.473984	76.132675
6846.806156	-48.033901	-208.265930	72.567505
6846.809487	-46.338982	-204.466980	69.119217
6846.812817	-45.053185	-201.194031	65.495621
6846.816151	-43.942726	-197.570435	62.164234
6846.819498	-42.656929	-193.362350	60.352421
6846.822820	-42.014027	-190.264755	58.073055
6846.826150	-40.143776	-186.641144	54.449444
6846.830411	-38.331970	-180.621277	49.832264
6846.833665	-37.046173	-176.997665	47.552891
6846.836996	-36.111046	-174.075394	46.267094
6846.840326	-35.000584	-171.445358	44.338398
6846.843231	-34.533020	-168.698410	42.643482
6846.846572	-33.831676	-166.652832	40.656345
6846.849936	-33.773232	-163.496780	39.312099
6846.852811	-32.604324	-160.808304	37.734074
6846.856145	-31.844536	-158.645813	35.454708
6846.859477	-31.026302	-156.191116	34.578022
6846.862822	-30.266514	-154.203979	32.766224
6846.866193	-30.032730	-151.340149	31.246639
6846.869485	-28.980717	-149.586792	30.603741
6846.872814	-28.746933	-147.774979	29.201054
6846.876146	-27.987144	-145.320282	27.798363
