crossing time (s)	slope (V/s)	crossing number
7642.872197	143.388535	6236
7643.897522	148.783944	6237
7644.909143	143.942988	6238
7645.938177	143.826166	6239
7646.964451	143.357816	6240
7647.986629	150.701478	6241
7648.978312	145.730942	6242
7650.001688	144.854257	6243
7651.031519	145.856369	6244
7652.053432	150.576267	6245
7653.086149	147.931071	6246
7654.094838	150.576813	6247
7655.087709	144.935148	6248
7656.116249	142.621025	6249
7657.124641	143.420507	6250
7658.161545	142.671614	6251
7659.161130	143.982633	6252
7660.196716	149.610475	6253
7661.205989	149.740481	6254
7662.241127	144.940892	6255
7663.214746	145.773903	6256
7664.255584	151.804353	6257
7665.262331	145.908069	6258
7666.277897	143.750978	6259
7667.325639	150.702115	6260
7668.330492	148.936712	6261
7669.340569	142.930735	6262
7670.353710	142.189069	6263
7671.373255	143.292703	6264
7672.396797	144.925371	6265
7673.400598	146.409868	6266
7674.434685	144.596853	6267
7675.469217	145.319873	6268
7676.459626	144.412369	6269
7677.515790	146.138971	6270
7678.483697	144.877994	6271
7679.504274	144.858332	6272
7680.525638	142.263026	6273
7681.529403	143.935029	6274
7682.558876	142.356421	6275
7683.592092	149.382159	6276
7684.599220	147.323048	6277
7685.613626	142.869748	6278
7686.634550	141.766649	6279
7687.625906	148.580857	6280
7688.649432	141.784939	6281
7689.688061	142.548162	6282
7690.704820	141.608592	6283
7691.729049	142.350363	6284
7692.755249	146.764526	6285
7693.764630	142.044799	6286
7694.778445	147.164212	6287
7695.790860	148.040818	6288
7696.812033	141.377123	6289
7697.819810	141.854990	6290
7698.834905	147.031042	6291
7699.844238	141.583729	6292
7700.869740	147.371658	6293
7701.888339	148.175640	6294
7702.902960	141.575911	6295
7703.918173	142.182198	6296
7704.940815	141.697044	6297
7705.954039	142.767969	6298
7706.960087	141.886771	6299
7708.007222	147.710335	6300
7709.000860	140.721384	6301
7710.041436	147.474012	6302
7711.052772	145.847660	6303
7712.056865	141.550538	6304
7713.099971	139.940510	6305
7714.103386	149.054771	6306
7715.128519	142.042251	6307
7716.121361	143.239555	6308
7717.143006	140.721000	6309
7718.184096	147.388718	6310
7719.191234	140.277643	6311
7720.202929	146.412501	6312
7721.201476	146.329001	6313
7722.230329	140.387706	6314
7723.251417	145.603440	6315
7724.279913	140.996350	6316
7725.296984	146.465180	6317
7726.297838	141.128168	6318
7727.324034	147.917975	6319
7728.338718	142.824747	6320
7729.362292	147.507527	6321
7730.375815	142.575029	6322
7731.403671	139.790315	6323
7732.395804	149.347234	6324
7733.439850	141.155962	6325
7734.423210	143.853465	6326
7735.445070	147.283387	6327
7736.466123	143.675621	6328
7737.498313	141.990911	6329
7738.484357	142.367178	6330
7739.535317	141.786899	6331
7740.565266	145.555469	6332
7741.579887	139.182392	6333
7742.572247	144.988816	6334
7743.582647	144.881297	6335
7744.636616	145.023290	6336
